idclientecrm,monto_total1,monto_total2,monto_total3,monto_total4,monto_total5,contratado Super Destacado1,contratado Super Destacado2,contratado Super Destacado3,contratado Super Destacado4,contratado Super Destacado5,contratado Destacado1,contratado Destacado2,contratado Destacado3,contratado Destacado4,contratado Destacado5,contratado Simple1,contratado Simple2,contratado Simple3,contratado Simple4,contratado Simple5,contratado Desarrollo Super Destacado1,contratado Desarrollo Super Destacado2,contratado Desarrollo Super Destacado3,contratado Desarrollo Super Destacado4,contratado Desarrollo Super Destacado5,contratado Desarrollo Destacado1,contratado Desarrollo Destacado2,contratado Desarrollo Destacado3,contratado Desarrollo Destacado4,contratado Desarrollo Destacado5,contratado Desarrollo Simple1,contratado Desarrollo Simple2,contratado Desarrollo Simple3,contratado Desarrollo Simple4,contratado Desarrollo Simple5,contratado freemium1,contratado freemium2,contratado freemium3,contratado freemium4,contratado freemium5,Lead Venta1,Lead Venta2,Lead Venta3,Lead Venta4,Lead Venta5,Lead Alquiler1,Lead Alquiler2,Lead Alquiler3,Lead Alquiler4,Lead Alquiler5,Lead Alquiler temporal1,Lead Alquiler temporal2,Lead Alquiler temporal3,Lead Alquiler temporal4,Lead Alquiler temporal5
10753139,299.0,299.0,299.0,299.0,240.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,20.0,20.0,20.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,38.0,28.0,24.0,59.0,21.0,28.0,56.0,41.0,44.0,0.0,0.0,1.0,1.0,1.0
10753146,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0
10753161,1299.0,669.0,669.0,669.0,669.0,30.0,30.0,30.0,30.0,30.0,80.0,80.0,80.0,80.0,80.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,404.0,379.0,313.0,291.0,140.0,250.0,201.0,136.0,555.0,0.0,0.0,0.0,0.0,0.0
10753174,397.0,397.0,397.0,397.0,397.0,12.0,12.0,12.0,12.0,12.0,20.0,20.0,20.0,40.0,40.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,26.0,49.0,21.0,65.0,2.0,3.0,13.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
10753176,497.0,497.0,497.0,497.0,497.0,92.0,92.0,92.0,92.0,92.0,70.0,70.0,70.0,70.0,70.0,10090.0,10090.0,10090.0,10090.0,10090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,18.0,15.0,26.0,84.0,47.0,57.0,47.0,72.0,0.0,0.0,0.0,0.0,0.0
10753184,299.0,299.0,299.0,299.0,299.0,2.0,2.0,2.0,2.0,0.0,40.0,40.0,40.0,40.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
10753249,349.0,349.0,349.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10753341,626.0,626.0,626.0,626.0,626.0,91.0,91.0,91.0,91.0,91.0,60.0,60.0,60.0,60.0,60.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,46.0,40.0,34.0,31.0,118.0,144.0,174.0,146.0,127.0,3.0,0.0,2.0,3.0,1.0
10753417,279.0,279.0,279.0,279.0,0.0,4.0,4.0,4.0,0.0,10.0,15.0,15.0,15.0,0.0,40.0,10000.0,10000.0,10000.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,65.0,26.0,24.0,23.0,21.0,14.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0
10753530,299.0,149.0,149.0,149.0,149.0,11.0,11.0,11.0,11.0,11.0,31.0,31.0,31.0,31.0,31.0,38.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,14.0,86.0,872.0,969.0,804.0,941.0,1638.0,0.0,0.0,0.0,0.0,0.0
10753571,419.0,349.0,349.0,349.0,349.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,40.0,40.0,40.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,235.0,365.0,145.0,113.0,49.0,33.0,80.0,105.0,91.0,3.0,3.0,3.0,4.0,0.0
10753581,397.0,397.0,397.0,397.0,397.0,28.0,28.0,28.0,28.0,30.0,40.0,40.0,40.0,40.0,60.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,18.0,7.0,18.0,34.0,55.0,68.0,36.0,160.0,0.0,0.0,0.0,0.0,0.0
10753598,199.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,0.0,125.0,125.0,125.0,125.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
